	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
81867	that allowed every little political group to publicize its views on the pressing issues of the day	group	NOUN	that	nsubj	things	all those things	(16, 32)	('things', '.')	There was a great demand for leaflets , broadsides , and posters , all those things that allowed every little political group to publicize its views on the pressing issues of the day .
81868	that always attracts her lovers	that	DET	that	nsubj	freshness	freshness	(43, 47)	('vulnerability', '.')	She has always hated her freckled , raw-looking skin , her flared nostrils and overly red lips , even though these features make her seem younger than her age , and it is just this appearance of freshness and vulnerability that always attracts her lovers .
81869	who are polite and shake hands	who	PRON	who	nsubj	children	her children	(6, 11)	('children', ',')	She introduces Leanne to her children who are polite and shake hands , then to some cousins from Santa Fe , obviously less important in the family hierarchy , but socially adept .
81870	that is not about concentrating on the road	that	DET	that	nsubj	way	a way	(14, 21)	('way', '.')	He shifts in his seat , sighs , knits his brow in a way that is not about concentrating on the road .
81871	who carried the arsenic into the hospice , in the waistband of my underwear	who	PRON	who	nsubj	one	the one	(4, 17)	('one', '.')	I was the one who carried the arsenic into the hospice , in the waistband of my underwear .
81872	for which she has little way of gauging any accomplishment	she	PRON	which	pobj	activities	activities	(26, 35)	('for', 'Her')	Finally , she bought her house in the canyon and settled into the dual occupations of saving the world and saving herself , activities for which she has little way of gauging any accomplishment .
81873	that he drove straight through from Butte , Montana , without sleeping	he	PRON	that	mark	gleans	Leanne gleans	(11, 22)	('gleans', '.')	His conversation is not really coherent , but Leanne gleans that he drove straight through from Butte , Montana , without sleeping .
81874	who sit reading women 's magazines	who	PRON	who	nsubj	counterparts	her mainstream counterparts	(19, 24)	(',', '.')	The following morning , in Dr. Biedelman 's plush waiting room , Leanne studies her mainstream counterparts , who sit reading women 's magazines .
81875	who hire out their wombs to infertile couples	who	PRON	who	nsubj	mothers	those surrogate mothers	(8, 15)	(',', '.')	Then she thinks of those surrogate mothers , who hire out their wombs to infertile couples .
81876	who would award it to a habitual illegal drug - user with traces of THC in her blood and urine	who	PRON	who	nsubj	judge	Well , probably the same judge	(7, 26)	('judge', '.')	Well , probably the same judge who would award it to a habitual illegal drug-user with traces of THC in her blood and urine .
81877	whose minds are not yet open	minds	NOUN	whose	poss	those	even those	(9, 14)	('those', '.')	It 's about service-serving even those whose minds are not yet open .
81878	that drop off to tiny beaches and huge rocks	that	DET	that	nsubj	edges	the edges	(24, 32)	('cliffs', '.')	Jacob tears recklessly down the Pacific Coast Highway , careening around blind curves , swinging wide , dangerously close to the edges of cliffs that drop off to tiny beaches and huge rocks .
81879	who lived next door wandering there	who	PRON	who	nsubj	woman	the old woman	(21, 26)	('woman', '.')	The garden next door looked as though no one ever came into it , but sometimes I saw the old woman who lived next door wandering there .
81880	who questioned him	who	PRON	who	nsubj	policeman	policeman	(1, 3)	('policeman', '.')	policeman who questioned him .
81881	who was surprised	who	PRON	who	nsubj	Anatole	Anatole	(9, 11)	(',', ',')	""" Of course not , "" said Anatole , who was surprised , if not shocked , by the unusual visit ."
81882	"one of which came back """	one	NUM	which	pobj	letters	my letters	(22, 27)	('of', '.')	"We had parted on good terms a year or so earlier , but he had not answered my letters , one of which came back "" addressee unknown ."
81883	who bared their souls	who	PRON	who	nsubj	persons	persons	(17, 20)	('persons', ',')	I 'd ever seen him-whether I did n't despise as much as he did persons who bared their souls , their pain , to you at every opportunity , and though I said no
81884	who , hands over his eyes and breathless with alarm ,	who	PRON	who	nsubj	man	a man	(9, 19)	('man', 'had')	This was , after all , a man who , hands over his eyes and breathless with alarm , had fled the station when two pigeons there began fighting over the bread crumb
81885	in whom one appreciates the perfection	one	PRON	whom	pobj	man	a man	(15, 20)	('in', 'the')	One always watches a man like Austerlitz , he replied , a man in whom one appreciates the perfection , the exaltation of hopelessness .
81886	that came from the speakers	that	DET	that	nsubj	words	again the words	(3, 7)	('words', 'meant')	again the words that came from the speakers meant nothing to him .
81887	who had a summer house in the hills not far from Assisi	who	PRON	who	nsubj	couple	a couple	(10, 21)	('year', '.')	, I said , I met a couple last year who had a summer house in the hills not far from Assisi .
81888	who answered my questions at once recognized the name	who	PRON	who	nsubj	woman	The woman	(2, 10)	('woman', ',')	The woman who answered my questions at once recognized the name , said it was not a customary name for a long-time resident of Umbertide .
81889	which were kept in an office only a few doors down the corridor from where we stood	we	PRON	which	nsubjpass	repairs	the repairs	(15, 31)	(',', '.')	If I liked she would show me the town records registering the repairs , which were kept in an office only a few doors down the corridor from where we stood .
81890	which had been by any standard unconventional	which	DET	which	nsubj	life	Even my own life	(9, 15)	(',', ',')	Even my own life , I thought , which had been by any standard unconventional , had been set on its permanent trajectory by the time I was out of graduate school .
81891	who had spent forty or fifty years	who	PRON	who	nsubj	souls	the poor souls	(14, 20)	('souls', 'sealed')	I had no more determined to change my life than the poor souls who had spent forty or fifty years sealed up behind those shutters in this god-forsaken town , perhaps venturing out once or twice a year on an outing to a nearby city but never giving the shape of their lives any thought .
81892	who came in for a coffee	who	PRON	who	nsubj	cassocks	brown cassocks	(7, 12)	('cassocks', ',')	She recognized two priests in brown cassocks who came in for a coffee , but she gave them only a glance for a greeting and seemed far more interested in shaping slowly for me the fragile molehill of her life .
81893	whom she tutored even in the summer months	she	PRON	whom	dobj	pupils	her pupils	(15, 22)	(',', ',')	She revolved , it seemed , in a closed circle with her pupils , whom she tutored even in the summer months , remaining always at home , traveling nowhere-not for a very long time , she said-tending her garden , studying , as I imagined , the crimson blotches of rust as they bled through the ancient walls of her house .
81894	who belonged to the world and had made a place for herself	who	PRON	who	nsubj	person	a person	(17, 28)	('person', '.')	With her sturdy lace-up shoes and her capacious school bag she seemed like a person who belonged to the world and had made a place for herself .
81895	that sound stupid when you try to describe them	you	PRON	that	nsubj	things	> Small things	(3, 11)	('things', '.')	> Small things that sound stupid when you try to describe them .
81896	who does what he likes	he	PRON	who	nsubj	fund	a trust fund	(8, 12)	('fund', '.')	@ Like a man with a trust fund who does what he likes .
81897	who wanted	who	PRON	who	nsubj	friend	the friend	(11, 12)	(',', ',')	there was a point , not to help the friend , who wanted
81898	who has a sincere way with the obvious	who	PRON	who	nsubj	man	a man	(16, 23)	('man', '.')	You tell me your friend is weak , tell me with the conviction of a man who has a sincere way with the obvious .
81899	that hung in front of the closet	that	DET	that	nsubj	curtain	The dark curtain	(3, 9)	('curtain', 'was')	The dark curtain that hung in front of the closet was open , and I saw , beneath the three or four dresses hanging there , a single pair of sandals .
81900	who has withdrawn from life	who	PRON	who	nsubj	friend	your friend	(12, 16)	(',', '.')	You 're more comfortable with the pessimism of your friend , who has withdrawn from life .
81901	who 'd followed him in from the bushy outskirts of town , crept in , the hair at their necks electrified ( as the man 's seemed to be all the time ) , and sniffed him as if they were n't sure they could trust him or were wondering at the scent of other places on him : smoke , catfish flesh , rolling muddy water , honeysuckle , wind - cured sweat , aeolian leaves , another scent , harder to identify , of things to come - the superabounding scent of motion	smoke	NOUN	who	nsubj	few	> A few	(8, 102)	(',', '.')	> A few of the curs , who 'd followed him in from the bushy outskirts of town , crept in , the hair at their necks electrified ( as the man 's seemed to be all the time ) , and sniffed him as if they were n't sure they could trust him or were wondering at the scent of other places on him : smoke , catfish flesh , rolling muddy water , honeysuckle , wind-cured sweat , aeolian leaves , another scent , harder to identify , of things to come-the superabounding scent of motion .
81902	that seemed to have blown into town with the stranger	that	DET	that	nsubj	breeze	a breeze	(21, 30)	('breeze', '.')	He offered his right hand and smiled his welcome to the man , his cook 's apron fluttering in a breeze that seemed to have blown into town with the stranger .
81903	who 'd finished cleaning up and had gone home while he stayed to behind to count receipts	he	PRON	who	nsubj	girls	the girls	(8, 24)	('girls', '.')	@ @ about Jess and the girls who 'd finished cleaning up and had gone home while he stayed to behind to count receipts .
81904	who gave no clear sign of having heard the question	who	PRON	who	nsubj	Man	the Wheelbarrow Man	(8, 17)	(',', '.')	He looked over at the Wheelbarrow Man , who gave no clear sign of having heard the question .
81905	that had him making pancakes for a crowd of people calling out orders	him	PRON	that	nsubj	dream	a dream	(20, 32)	('dream', '.')	But before he woke up , the sound transformed into the sound of batter hitting a griddle in a dream that had him making pancakes for a crowd of people calling out orders .
81906	which was strapped to his back	which	DET	which	nsubj	house	his house	(20, 25)	(',', '.')	In the first he had been moving painstakingly down Griffey Avenue , crouching under the weight of his house , which was strapped to his back .
81907	who come at me	who	PRON	who	nsubj	hounds	The hounds	(4, 7)	('hell', 'will')	The hounds of hell who come at me will be under my power soon 's
81908	that had elapsed	that	DET	that	nsubj	time	the time	(11, 13)	('time', '.')	he thought the man could have covered in the time that had elapsed .
81909	that had sprouted atop Catawampous	that	DET	that	nsubj	sail	a sail	(14, 18)	('sail', '.')	Seemed to repel him as if a strong headwind were billowing a sail that had sprouted atop Catawampous .
81910	which caused the man 's paprika - colored face to brighten for an instant	face	NOUN	which	nsubj	echo	an answering echo	(11, 24)	(',', '.')	moment later by an answering echo from inside the sphere , which caused the man 's paprika-colored face to brighten for an instant .
81911	who had turned into a blacksmith	who	PRON	who	nsubj	scarecrow	A scarecrow	(3, 8)	('scarecrow', 'you')	A scarecrow who had turned into a blacksmith you might 've said , and this would not have been far wrong .
81912	who stood in the Ohio sun beside the iron bubble	who	PRON	who	nsubj	man	the man	(7, 16)	('man', 'he')	This clubfooted boy was now the man who stood in the Ohio sun beside the iron bubble he 'd forged and hammered together himself .
81913	who had taken a Comanche wife	who	PRON	who	nsubj	Ranger	a Texas Ranger	(10, 15)	('Ranger', ',')	Halfbrother Micah was believed to be a Texas Ranger who had taken a Comanche wife , but Hephaestus had n't heard from him in years .
81914	which had been his great passion	which	DET	which	nsubj	Hills	the Moxahala Hills	(20, 25)	(',', ',')	Laid up as he was , the old man could n't go fox hunting in the Moxahala Hills , which had been his great passion , and so was forced to sell his beloved hunting dogs-or would have been forced to had not the young Hephaestus hit upon the idea of using the dogs to run a drum treadmill to power the drill for gunboring .
81915	who based his theory on the biblical books of Daniel and Revelation	who	PRON	who	nsubj	Miller	Miller	(2, 13)	(',', ',')	Miller , who based his theory on the biblical books of Daniel and Revelation , supported by calculations from Ezekiel and Numbers , had taken to sermonizing and lecturing at camp meetings back in 1831 and had since become a national and indeed international celebrity , with several newspapers devoted to spreading the word of imminent advent and hopeful paradise for the worthy .
81916	who had died at birthdoubts	who	PRON	who	nsubj	sister	his twin sister	(55, 59)	(',', 'would')	In the evenings when he sat watching the fireflies blinking in the pea patch-his wife , Rapture , brewing some extract of wolf mint , dressing buckskins , or working at her spinning wheel , his son , Lloyd , cataloguing his trilobites or dreaming of his twin sister , Lodema , who had died at birthdoubts would overcome Hephaestus .
81917	that surrounded their corncrib house and landed intact	that	DET	that	nsubj	peppergrass	the peppergrass	(22, 29)	('peppergrass', '.')	Powered by miniature spindlewood propellers and guided by rudderwings of dried bluegill fins , the impossibly delicate machine floated over the peppergrass that surrounded their corncrib house and landed intact .
81918	that had worked successfully on subjects as different as a Clydesdale mare and a Columbus socialite ,	that	DET	that	nsubj	technique	a remedial massage technique	(14, 30)	('technique', 'not')	She had pioneered her own form of acupuncture and a remedial massage technique that had worked successfully on subjects as different as a Clydesdale mare and a Columbus socialite , not to mention cultivating some mysterious personal abilities , ineluding continuous orgasms and short-distance telepathy .
81919	who traded pelts in Kentucky	who	PRON	who	nsubj	trapper	a trapper	(13, 17)	('trapper', '.')	He left the islands and headed west , joining forces with a trapper who traded pelts in Kentucky .
81920	that had but a hint of cinnamon to suggest her colorful ancestry .	hint	NOUN	that	nsubj	complexion	a creamy complexion	(15, 27)	('complexion', 'Her')	but she survived and grew up clever and curved , with a blessedly creamy complexion that had but a hint of cinnamon to suggest her colorful ancestry .
81921	that Rapture harvested for her soporifics	Rapture	PROPN	that	dobj	veronica	the veronica	(19, 24)	('veronica', '.')	He went , as he always did in such situations , to his secret refuge beyond the veronica that Rapture harvested for her soporifics .
81922	who had founded the town	who	PRON	who	nsubj	Zane	Ebenezer Zane	(19, 23)	(',', ',')	The sprinkling of rough graves dated back only to the days of Ebenezer Zane and John Mclntire , who had founded the town , but Lloyd liked to think they were much older .
81923	that drove them	that	DET	that	nsubj	air	the air	(28, 30)	('devotion', '.')	You could not have stood amidst the Lilliputian wind machines and not have been moved by both the ingenuity of their design and by the air of devotion that drove them .
81924	who was only half the size of any one of them	who	PRON	who	nsubj	Lloyd	Lloyd	(10, 20)	(',', ',')	The moment they realized they had happened upon Lloyd , who was only half the size of any one of them , the fiends knew what they were going to do-and when they were close enough to strike-they charged him with a whoop of derision .
81925	that hurled a corn popping basket full of fishing	that	DET	that	nsubj	wire	a crawdad wire	(14, 22)	('wire', 'shot')	Booth Tanner and Buddy Fitch took the first hits , tripping a crawdad wire that hurled a corn popping basket full of fishing shot at them .
81926	whose cheek bulged with chewing tobacco	cheek	NOUN	whose	poss	visitor	the red visitor	(24, 29)	(',', '.')	Lloyd was already out in the settling dust , patting Tip and staring defiantly at the blood-pressure-red visitor , whose cheek bulged with chewing tobacco .
81927	who 's sorry , Todd .	who	PRON	who	nsubj	one	one	(1, 6)	('one', 'I')	one who 's sorry , Todd .
81928	who are mad with me about money	who	PRON	who	nsubj	folks	folks	(11, 17)	('town', '.')	"He 's right when he says there 's folks in town who are mad with me about money . """
81929	that pulled up to the drive - through speaker	that	DET	that	nsubj	cars	the cars	(11, 19)	('cars', '.')	Eddie was in back counting money and receipts and the cars that pulled up to the drive-through speaker .
81930	that smelled of bleach	that	DET	that	nsubj	rags	white rags	(15, 18)	('rags', '.')	They stood around and wiped the counters ; they patted their foreheads with white rags that smelled of bleach .
81931	that loomed into the heat of the night	that	DET	that	nsubj	tangle	own a tangle	(60, 67)	('green', '.')	When they reached the end of her block , she made him stop , and she got out of the car and walked the rest of the way home alone , past the neighbors ' yards , their tiny lawns like oversized carpet squares , until she reached her own-her father 's idea-a tangle of green that loomed into the heat of the night .
81932	who needs the holiday pay	who	PRON	who	nsubj	someone	someone	(4, 8)	('someone', '.')	"There 's always someone who needs the holiday pay . """
81933	that fell to her ankles	that	DET	that	nsubj	skirt	a paisley skirt	(11, 15)	('skirt', '.')	> Josephine wore a green velvet vest and a paisley skirt that fell to her ankles .
81934	that jingled when she walked	she	PRON	that	nsubj	stones	stones	(6, 10)	('stones', '.')	She wore bracelets inlaid with stones that jingled when she walked .
81935	that brought back a memory of how Saturdays had been when she was younger , when she and her father cooked together while her mother slept in	mother	NOUN	that	nsubj	window	the kitchen window	(14, 40)	('window', '.')	There was a quietness of sunlight in the lemon tree at the kitchen window that brought back a memory of how Saturdays had been when she was younger , when she and her father cooked together while her mother slept in .
81936	that would decide everything	that	DET	that	nsubj	drama	some drama	(12, 15)	('drama', '.')	Frances thought it meant an end would arrive , some drama that would decide everything .
81937	that climbed the rock wall out the back door and put them in a vase for her mother	that	DET	that	nsubj	vines	the vines	(8, 25)	('vines', '.')	As she cut sweet peas from the vines that climbed the rock wall out the back door and put them in a vase for her mother .
81938	that could make a plain dust rag dance over the top of a picture frame	that	DET	that	nsubj	fingers	fingers	(4, 18)	('fingers', ',')	They were fingers that could make a plain dust rag dance over the top of a picture frame , the black keys of the piano , the tricky spot where the leg of a chair meets the seat .
81939	that set Frances against her	that	DET	that	nsubj	anything	anything	(24, 28)	('anything', '.')	The dark hair had parted to reveal her mother 's scalp , pink and awful , and it was this as much as anything that set Frances against her .
81940	which made Frances think of Josephine , the clink of her bracelets against the glass tabletop , the sound of something about to break	Frances	NOUN	which	nsubj	lights	the bright yellow lights	(10, 33)	('-', '.')	His teeth glinted gold under the bright yellow lights-which made Frances think of Josephine , the clink of her bracelets against the glass tabletop , the sound of something about to break .
81941	who has spent the past year after college teaching conversational English at one of Tokyo 's many eikaiwa schools	college	NOUN	who	nsubj	Eisa	Eisa	(15, 33)	(',', '.')	For a few months this winter , Jun took private lessons with Eisa , who has spent the past year after college teaching conversational English at one of Tokyo 's many eikaiwa schools .
81942	that extend past his fingers	that	DET	that	nsubj	sleeves	sleeves	(9, 13)	('sleeves', ',')	The jacket has upside-down pockets , sleeves that extend past his fingers , and looks as if it has been turned inside-out , frayed seams exposed .
81943	"that reads "" Beware pickpockets and loose women"	that	DET	that	nsubj	sign	even the sign	(37, 44)	('Alley', '.')	"this bar is , down to the shambling wood chairs and caf tables , the memorabilia and curios , the murals of Baudelaire , Rimbaud , and Bob Kaufman , even the sign from Jack Kerouac Alley that reads "" Beware pickpockets and loose women . """
81944	that looks like an indigo inkblot on his lower back	that	DET	that	nsubj	birthmark	a birthmark	(9, 18)	('birthmark', '.')	He has only one distinguishing mark , a birthmark that looks like an indigo inkblot on his lower back .
81945	which can resemble bruises	which	DET	which	nsubj	spots	The spots	(4, 7)	(',', ',')	The spots , which can resemble bruises , usually shrink and disappear by adolescence , but Jun 's never quite did , leaving a vestige the size of a nickel .
81946	which has scalloped head- and footboards made of burr walnut	which	DET	which	nsubj	bed	the French bed	(8, 17)	(',', '.')	They sprawl onto the French bed , which has scalloped head- and footboards made of burr walnut .
81947	that dements her	that	DET	that	nsubj	technique	a special technique	(5, 7)	('technique', '.')	He has a special technique that dements her .
81948	that comprise the translated opening for The Great Gatsby	that	DET	that	nsubj	hiragana	the hiragana	(13, 21)	('characters', ':')	"With his tongue , he is lightly tracing the hiragana and konji characters that comprise the translated opening for The Great Gatsby : "" In my younger and more vulnerable years . . ."
81949	which was where this same caste had nurtured their alcoholism before one by one they bottomed and went on the wagon	they	PRON	which	nsubj	Club	the Country Club	(37, 57)	('-', '.')	-and so then did many attorneys and thus then the other entitled professionals including the most landed of the farmers ; in fact , the West Ridge gathering had the feel of the Kaskaskia Country Club-which was where this same caste had nurtured their alcoholism before one by one they bottomed and went on the wagon .
81950	that plunged from Lowell 's office , with no other access , down three floors into the basement where there was a small , oddlooking door leading to the outside , padlocked and unused for the last fifty years	that	DET	that	nsubj	staircase	a metal spiral staircase	(8, 46)	('staircase', '.')	Behind the door was a metal spiral staircase that plunged from Lowell 's office , with no other access , down three floors into the basement where there was a small , oddlooking door leading to the outside , padlocked and unused for the last fifty years .
81951	that 's in touch with your heart	that	DET	that	nsubj	watch	a watch	(8, 14)	('watch', '.')	""" I sort of like wearing a watch that 's in touch with your heart ."
81952	that was at the foot of his private spiral staircase	that	DET	that	nsubj	door	the small defunct door	(12, 21)	('door', '.')	He walked toward the building , glancing at the small defunct door that was at the foot of his private spiral staircase .
81953	that bordered the north drive	that	DET	that	nsubj	maples	maples	(23, 27)	('maples', '.')	She was staring toward him , her arms folded across her , motionless in a group of people under the line of maples that bordered the north drive .
81954	who scampered under the yellow tape to fetch it	who	PRON	who	nsubj	daughter	his daughter	(15, 23)	(',', '.')	He heaved his father 's sheathed hunting knife in the direction of his daughter , who scampered under the yellow tape to fetch it .
81955	who passed the message along	who	PRON	who	nsubj	sheriff	the sheriff	(22, 26)	(',', '.')	The following morning , a Sunday , the judge phoned the jail from home before church , talked to the sheriff , who passed the message along .
81956	who had offices there	who	PRON	who	nsubj	faculty	the faculty	(12, 15)	('faculty', ',')	Fraternities , the whole football team , a lot of the faculty who had offices there , had run into the burning building , helped save critical records , grabbed the heirlooms and books they could n't live without .
81957	that was n't it	that	DET	that	nsubj	time	this time	(21, 24)	('time', '.')	In the dark , the room threatened to capsize like those nights he came to bed drunk , but this time that was n't it .
81958	who now worked in safety at the Murdock Mine	who	PRON	who	nsubj	teacher	an - teacher	(11, 19)	('college', '.')	""" Vasco was an ex-teacher at the college who now worked in safety at the Murdock Mine ."
81959	that eats grass	that	DET	that	nsubj	dog	a dog	(5, 7)	('dog', '.')	I was like a dog that eats grass .
81960	I know that of	I	PRON	that	pobj	experiences	recent death experiences	(6, 9)	('experiences', '.')	recent near-death experiences that I know of .
81961	who 'll kick her around a little	who	PRON	who	nsubj	somebody	somebody	(8, 14)	('somebody', '.')	"Carol needs a new shrink , somebody who 'll kick her around a little . """
81962	that rises from the snow like steam from a pot of boiling water	that	DET	that	nsubj	glow	a white glow	(27, 39)	('glow', '.')	Everything is covered in it most of the time , and even when it 's dark out nearly all day long , there 's a white glow that rises from the snow like steam from a pot of boiling water .
81963	that happened a few years back	that	DET	that	nsubj	leak	the tanker leak	(6, 11)	('leak', ',')	anymore because of the tanker leak that happened a few years back , right around where Warren says he saw our grandfather .
81964	who came in after the spill like dog salmon chasing a bucket of chum	who	PRON	who	nsubj	kids	the dreadlocked cleanup kids	(28, 41)	('kids', '.')	But the point is , despite his small pecker , Hank 's been doing a lot of business because of all the lawyers and the dreadlocked cleanup kids who came in after the spill like dog salmon chasing a bucket of chum .
81965	"that Janine said to me when I opened the door was , "" Jesus , Phil , do n't touch anything"	Jesus	PROPN	that	dobj	thing	the first thing	(19, 39)	('thing', '.')	"My hands were covered in sap from the pine I had been chopping , and the first thing that Janine said to me when I opened the door was , "" Jesus , Phil , do n't touch anything . """
81966	that flushed its toilet in our backyard	that	DET	that	nsubj	company	the company	(6, 12)	('company', 'had')	The short story was the company that flushed its toilet in our backyard had to pay for its dump .
81967	who 's looking at the best life	who	PRON	who	nsubj	someone	someone	(10, 16)	('someone', 'has')	, I know better than to piss on someone who 's looking at the best life has to offer .
81968	that dotted the Sound	that	DET	that	nsubj	chunks	the chunks	(33, 36)	('ice', ',')	No one said a word as my father lifted me from the sledge and into the canoe , and then began to paddle , slowly and methodically , between the chunks of ice that dotted the Sound , until we were farther out than anyone could see ...
81969	who gathered to mourn my passing	who	PRON	who	nsubj	people	All those people	(3, 8)	('people', 'instead')	All those people who gathered to mourn my passing instead witnessed my birth .
81970	that was Grandfather 's fishing hut	that	DET	that	nsubj	corner	the corner	(15, 20)	('corner', '.')	The first thing I did when I walked in was to turn towards the corner that was Grandfather 's fishing hut .
81971	who had pulled up alongside me at the bar	who	PRON	who	nsubj	Warren	Warren	(8, 16)	(',', '.')	I laughed and turned to Warren , who had pulled up alongside me at the bar .
81972	that had stained the boats in the Sound and had sloshed around my stomach for eight years running	that	DET	that	nsubj	goop	the goop	(11, 28)	('goop', '.')	The blood was warm and slick , like the goop that had stained the boats in the Sound and had sloshed around my stomach for eight years running .
81973	that shook his belly and streaked tears down his cheeks and made him gasp for breath	him	PRON	that	nsubj	laughter	laughter	(5, 20)	('laughter', '.')	He was choking with laughter that shook his belly and streaked tears down his cheeks and made him gasp for breath .
81974	that made me want to scream	me	PRON	that	nsubj	urgency	an icy urgency	(23, 28)	('urgency', '.')	Snowflakes stuck to my bloodied face and the wind ripped through my T-shirt , cutting into me with an icy urgency that made me want to scream .
81975	in which they turn out the lights and @	they	PRON	which	pobj	intimacy	a whispering intimacy	(10, 18)	('in', '@')	Often the conversation resolves into a whispering intimacy in which they turn out the lights and @ @
81976	against which he has very few defenses	he	PRON	which	pobj	hazard	its chief hazard	(10, 16)	('against', 'When')	Self-doubt is its chief hazard , against which he has very few defenses .
81977	"who was "" easily the most charismatic preacher in the country"	who	PRON	who	nsubj	man	the man	(25, 35)	('man', '.')	"In a month 's time , Rudy said , the fund would accrue to a stipend generous enough to attract a visit from the man who was "" easily the most charismatic preacher in the country ."
81978	that is not good	that	DET	that	nsubj	way	a way	(21, 24)	('way', ';')	He 'll think of Psalms 36 : They plot mischief while on their beds ; they are set on a way that is not good ; they do not reject evil .
81979	"that read "" Childs1"	that	DET	that	nsubj	plate	a plate	(36, 39)	('plate', '.')	"On the fateful day of Jones 's arrival , Jeffrey chose the Dodge for his drive to the airport-a ' 67 Dart , chrome-blue and convertible with sparkling muffler and a plate that read "" Childs1 . """
81980	that seemed magic - like a cantaloupe appearing from a pencil box	that	DET	that	nsubj	way	a way	(20, 31)	('way', '.')	Stairs were wheeled to the plane door and shortly Jones appeared , ducking out of the aircraft in a way that seemed magic-like a cantaloupe appearing from a pencil box .
81981	that made his wife and girl flinch and even startled himself	that	DET	that	nsubj	rage	a rage	(12, 22)	('rage', '.')	"he roared from the head of the table-exerting a rage that made his wife and girl flinch and even startled himself . """
81982	that crested at twenty - five minutes	that	DET	that	nsubj	bellow	a bellow	(18, 24)	('bellow', ',')	"And in a soft voice the associate led their joint appeal to God , rose to a bellow that crested at twenty-five minutes , whispered : "" Amen . """
81983	that thrill them both	that	DET	that	nsubj	words	Forbidden words	(2, 5)	('words', ',')	Forbidden words that thrill them both , expletives entering the air and charging it with a sharp and supersensory static .
81984	that pounded the air , or else jabbing a blunt forefinger heavenward	that	DET	that	nsubj	fist	a colossal fist	(14, 25)	('fist', '.')	His other hand trembled on his outstretched arm , snapping into a colossal fist that pounded the air , or else jabbing a blunt forefinger heavenward .
81985	that bristled every tiny hair on the back of Jeffrey 's neck	that	DET	that	nsubj	profusion	a profusion	(9, 20)	('profusion', '.')	Shouted Hallelujahis sprang from the pews with a profusion that bristled every tiny hair on the back of Jeffrey 's neck .
81986	who made him	who	PRON	who	nsubj	Lord	the Lord	(37, 39)	('Lord', 'and')	He had read for eight long hours and heard the all-powerful voice of Jesus ringing in his ears , driving him to his knees , impelling him to open his heart and receive the Lord who made him and died for his sake .
81987	that clearly paled against the dramatic lighting of Jones 's	that	DET	that	nsubj	one	one	(7, 16)	('one', '.')	A fine story , but one that clearly paled against the dramatic lighting of Jones 's .
81988	who are n't ready for it	who	PRON	who	nsubj	those	those	(5, 10)	('us', ',')	""" For those of us who are n't ready for it , it 's going to be one great big nightmare ."
81989	who indulge their flesh in depraved lust	who	PRON	who	nsubj	those	especially those	(26, 32)	('those', '.')	The Lord knows how to rescue the godly from trial , and to keep the unrighteous under punishment until the Day of Judgment-especially those who indulge their flesh in depraved lust .
81990	who devise wickedness and evil deeds on their beds	who	PRON	who	nsubj	those	those	(8, 16)	('those', '!')	The words of Micah : Alas for those who devise wickedness and evil deeds on their beds !
81991	that Jones has	Jones	PROPN	that	dobj	all	all	(8, 10)	('all', '?')	How could he even hope for all that Jones has ?
81992	that seemed promising	that	DET	that	nsubj	anything	anything	(10, 12)	('anything', '.')	<p> With a marker , she circled anything that seemed promising .
81993	who wrote it sure	who	PRON	who	nsubj	guy	The guy	(3, 6)	('guy', 'did')	""" The guy who wrote it sure did n't know how to count ."
81994	that hurt by make them hurt more	them	PRON	that	nsubj	parts	parts	(4, 10)	('body', '.')	parts of your body that hurt by make them hurt more .
81995	that got me the VR gadget	that	DET	that	nsubj	connections	the connections	(19, 24)	('connections', 'involved')	I 've always been into athletics-running paid my own way through college-but the connections that got me the VR gadget involved basketball and computer games .
81996	who always kept enough in reserve to look good to whoever might be watching	whoever	PRON	who	nsubj	slacker	the slacker	(6, 19)	(',', '.')	One was the slacker , who always kept enough in reserve to look good to whoever might be watching .
81997	who did his workouts slightly faster than called for	who	PRON	who	nsubj	overachiever	an overachiever	(7, 15)	('overachiever', '.')	The other was new : an overachiever who did his workouts slightly faster than called for .
81998	who could advance his own career over the bodies of the kids he 's supposed to mentor	who	PRON	who	nsubj	one	one	(36, 52)	('one', '.')	College coaches are notorious for wringing as much as possible out of their athletes during their years of eligibility , with no thought of what happens later , but I 've never been one who could advance his own career over the bodies of the kids he 's supposed to mentor .
81999	that hit like a sledgehammer	that	DET	that	nsubj	rhythm	a pounding rhythm	(15, 19)	('rhythm', ',')	Dylan 's twinge had become an excruciating stab , his stride was a pounding rhythm that hit like a sledgehammer , and his breathing felt like the chugging of an old-fashioned steam engine .
82000	which needed to start practice well before the start of classes	which	DET	which	nsubj	team	the team	(15, 25)	(',', '.')	By August , Dylan was back on campus with the rest of the team , which needed to start practice well before the start of classes .
82001	"that sounded like "" humane torture"	that	DET	that	nsubj	phrase	a phrase	(32, 37)	('phrase', '.')	"They tried to search my office but did n't have a warrant and my boss managed to chase them away , but not before my secretary heard them tossing around a phrase that sounded like "" humane torture ."
82002	"who caused the "" forever "" loss"	who	PRON	who	nsubj	one	the one	(16, 22)	('one', '.')	"Even if the victory was only temporary , I did n't want to be the one who caused the "" forever "" loss ."
